 ,,Google Drive Link: https://drive.google.com/drive/folders/1nSiw3mkP1B4IReRq980WTEhf6HkPFSeb?usp=share_link,,,,,,,,,,,,,,,,,,,
Name,Photo Link,References: https://www.businessinsider.com/january-6-committee-hearings-witnesses-marc-short-jeff-rosen-2022-6#jason-van-tatenhove-former-oath-keepers-spokesman-21,,,,,,,,,,,,,,,,,,,
Albert Foley,CANNOT LOCATE,,,,,,,,,,,,,,,,,,,,
Alex Cannon,https://drive.google.com/file/d/1nhupBTkBG32MKosCJuDf5bQH1G64am8Y/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Alex Holder,https://drive.google.com/file/d/1QncY-LKaW0GtxpslfWh8_Aw-zCD0TxAY/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Alex Jones,https://drive.google.com/file/d/1QvztAieSJnU0P9GxtOSUlrK1JtigO7dp/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Alexander Bruesewitz,https://drive.google.com/file/d/1oCLq3zHl8Lk4Pb7yjYGB9ilE0boUg9Bd/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Alexandra Preate,https://drive.google.com/file/d/1FZLoUP5vQEIH7r98QCKYORzRHCrk1-zP/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Ali Alexander,https://drive.google.com/file/d/1sVP9PDhHSer5rjlvAdC-Hni-buNMhvNc/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Alondra Propes,CANNOT LOCATE,,,,,,,,,,,,,,,,,,,,
Alyssa Farah Griffin,https://drive.google.com/file/d/1JhaYVUrgES05-9jM3mvKiHti_StNVhg7/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Amy H. Swonger,https://drive.google.com/file/d/1YkzcfxZJ8jRZgz7poIt1b811OkV2iV8n/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Amy Kremer,https://drive.google.com/file/d/19m47xwBWAz3MyT8ufc6mQr0kvqZJp--k/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Andrew Hitt,https://drive.google.com/file/d/15UNW5dX35SYhv-iREohTsWgTGqDsKjAg/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Andrew Surabian,https://drive.google.com/file/d/1SSjE0yBFe0-sS29hgAaKySXz0-lydM_V/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
"Andrew Zachary ""Zach"" Parkinson",https://drive.google.com/file/d/12nChqIyZFGM7QPXFV09qYIpZi8IgGbIH/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Angela McCallum,https://drive.google.com/file/d/1f9_EYip7u4Umuelx_4Tq7mqXBfRR7qm1/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Anika Collier Navaroli,https://drive.google.com/file/d/10ntxMKac1bL0ZmfQROjWvyfGqh0xtbsK/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Annie Christine Howell,https://drive.google.com/file/d/1pFTNlIXbSUzMpfZWuYOUpi-qkiGsxPNr/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Anthony Ornato,https://drive.google.com/file/d/1VVrL8XV0TN45RetdFVoiI7tdyB3OhCSM/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Anton Lunyk,https://drive.google.com/file/d/1I_T9_ts6Juhc6_jUiBhR1278j0Xh_8Mf/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Antonio P. LaMotta,https://drive.google.com/file/d/1NjhsLV_zybTJ6qzNzSY9lYBuAdZB5Gvc/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Arina Grossu,https://drive.google.com/file/d/1JlPZ82fKQp7-eyzukjX9peLHqm_Qzi-s/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
